year_loc,mean,sd,Discriminibility Group
2014-ILH1,2.710210066,0.253103188,High
2014-MOH2,2.294337449,0.25845206,High
2014-NEH1,2.656656893,0.314292857,High
2014-WIH1,2.580328273,0.162677269,High
2015-ILH1,2.793664342,0.235763107,High
2015-NYH3,2.08388565,0.284903145,High
2015-SDH1,2.983987443,0.311273378,High
2015-TXH2,4.864201839,0.442162611,High
2016-GAH2,2.379106335,0.240621459,High
2016-IAH2,1.955794477,0.174442503,High
2016-NYH2,1.883910693,0.262613098,High
2016-NYH2L,1.895857285,0.255400695,High
2016-WIH2,2.476975679,0.139605286,High
2017-DEH1,1.070136451,0.186196032,High
2017-INH1,2.927451338,0.179179563,High
2017-MIH1,2.541172998,0.327198568,High
2017-WIH1,2.819653212,0.163569378,High
2017-WIH2,2.761966335,0.245053193,High
2018-DEH1,1.457981539,0.202720593,High
2018-IAH2,1.986675655,0.140567366,High
2018-IAH4,2.015509838,0.133924158,High
2018-ILH1,3.001080492,0.287405162,High
2018-INH1,2.739559639,0.232932595,High
2018-MIH1,2.267860256,0.160927075,High
2018-MNH1,2.735854101,0.148168456,High
2018-MOH1,2.96761274,0.297803467,High
2018-NCH1,1.822840342,0.181614984,High
2018-NYH1,2.172622838,0.061980385,High
2018-NYH2,2.168551943,0.102839975,High
2018-NYH3,2.279599192,0.073139406,High
2018-OHH1,2.956846418,0.237139259,High
2018-SCH1,3.203487725,0.186251947,High
2018-WIH1,2.827342433,0.091936696,High
2019-GAH2,2.471497186,0.25504676,High
2019-IAH4,2.391335704,0.221112819,High
2019-ILH1,2.946821989,0.294762237,High
2019-INH1,2.557691564,0.372814051,High
2019-NYH3,2.008396421,0.319790249,High
2019-SCH1,3.124951629,0.205236106,High
2019-TXH3,4.799444028,0.103796276,High
2019-WIH1,2.723480762,0.109412388,High
2020-DEH1,1.387053634,0.083126388,High
2020-INH1,2.320108493,0.313953036,High
2020-MIH1,2.554827816,0.198233382,High
2020-MNH1,2.570146083,0.202237173,High
2020-NEH1,2.826771068,0.251110013,High
2020-NEH2,2.004843153,0.296237937,High
2020-NYH2,1.894557155,0.235767616,High
2020-NYH3,1.882226359,0.24569277,High
2020-OHH1,2.645956194,0.283091241,High
2020-TXH1,3.076109389,0.110428708,High
2020-TXH2,3.002336592,0.153472181,High
2020-WIH2,2.438499777,0.193379214,High
2021-DEH1,1.825917068,0.080590535,High
2021-GAH2,2.368076666,0.159954679,High
2021-IAH4,2.001870628,0.184654718,High
2021-ILH1,3.27673852,0.133442512,High
2021-INH1,2.563513677,0.245675681,High
2021-MIH1,2.188534041,0.174056872,High
2021-MNH1,2.299662564,0.141985535,High
2021-NEH1,2.665195405,0.387003631,High
2021-NEH2,2.295075711,0.339639607,High
2021-TXH2,3.316208375,0.119366772,High
2021-WIH1,1.907571055,0.187201909,High
2021-WIH2,2.047031007,0.171666659,High
2014-IAH1,2.701049671,0.11481597,Low
2014-INH1,2.958495425,0.236114852,Low
2014-MNH1,3.001044312,0.255074138,Low
2014-NEH2,2.251617522,0.292436687,Low
2014-NYH2,2.202643073,0.187662425,Low
2015-INH1,2.725506084,0.364095309,Low
2015-KSH1,3.505360102,0.292734114,Low
2015-MNH1,2.53029387,0.145528181,Low
2015-MOH1,3.387761981,0.271839482,Low
2015-MOH2,3.417839565,0.257835502,Low
2015-NEH2,2.184762214,0.358466284,Low
2015-NYH2,2.127123305,0.298787893,Low
2015-OHH1,3.192610823,0.269066437,Low
2015-TXH1,5.165114418,0.096513504,Low
2016-DEH1,1.34672192,0.123763618,Low
2016-IAH3,2.666100461,0.118434758,Low
2016-IAH4,1.822092073,0.079933004,Low
2016-ILH1,2.663779511,0.175808363,Low
2016-INH1,2.455380851,0.120822677,Low
2016-MIH1,2.558361643,0.131578071,Low
2016-MNH1,2.650623783,0.065587639,Low
2016-NEH1,3.200003211,0.215488388,Low
2016-NEH4,3.306443519,0.239138787,Low
2016-NYH1,1.648604349,0.205833269,Low
2016-TXH1,5.009104195,0.097715126,Low
2016-TXH2,4.868663455,0.323630891,Low
2016-WIH1,2.352413325,0.064090092,Low
2017-COH1,1.895893073,0.201683766,Low
2017-GAH1,2.295114626,0.050304956,Low
2017-GAH2,1.740780174,0.108112887,Low
2017-IAH4,1.856433923,0.252579988,Low
2017-ILH1,2.712690809,0.385126768,Low
2017-MNH1,2.474651225,0.243395434,Low
2017-NYH1,2.526474527,0.256069215,Low
2017-TXH1-Dry,4.781814072,0.168239229,Low
2017-TXH1-Early,4.781816406,0.168240897,Low
2017-TXH1-Late,4.758846497,0.162035248,Low
2017-TXH2,4.640053784,0.167273981,Low
2018-ARH2,2.568304233,0.312173756,Low
2018-TXH1-Dry,4.499236785,0.185094601,Low
2018-TXH1-Early,4.499243057,0.18509582,Low
2018-TXH1-Late,4.457050182,0.168691789,Low
2018-TXH2,2.767176186,0.114033114,Low
2018-WIH2,2.250878181,0.187990171,Low
2019-DEH1,1.069999947,0.112412138,Low
2019-MIH1,2.413701257,0.273594432,Low
2019-MNH1,3.079607677,0.174009975,Low
2019-NEH1,3.210094182,0.262647516,Low
2019-NEH2,3.225368276,0.239288045,Low
2019-NEH2L,3.264700794,0.269721871,Low
2019-NYH1,1.923677049,0.286460884,Low
2019-NYH2,2.048641758,0.284232083,Low
2019-OHH1,2.838710556,0.378210855,Low
2019-TXH1,4.802602317,0.10000282,Low
2019-TXH2,4.799443999,0.103796261,Low
2019-WIH2,1.8948528,0.096120659,Low
2020-SCH1,3.153021794,0.293751521,Low
2020-TXH3,3.188611547,0.119976953,Low
2020-WIH1,2.41391018,0.20807788,Low
2021-NYH2,2.180577716,0.112521702,Low
2021-NYH3,2.25506406,0.107510346,Low
2021-SCH1,3.159882811,0.138234504,Low
2021-SCH1L,3.128018538,0.194762677,Low
2021-TXH1,3.298490133,0.111643025,Low
2021-TXH3,3.453635431,0.27346225,Low
