"","vectorLength"
"2014-IAH1",2.82406848090154
"2014-ILH1",3.05776961943732
"2014-INH1",3.69243812896711
"2014-MNH1",3.01037729595733
"2014-MOH2",2.49282941724836
"2014-NEH1",2.20131311920896
"2014-NEH2",1.59567594597469
"2014-NYH2",3.66508688747409
"2014-WIH1",3.52461390574028
"2015-ILH1",3.3915751281618
"2015-INH1",1.90005474466144
"2015-KSH1",1.95415948702559
"2015-MNH1",2.50082819872483
"2015-MOH1",1.97783742388531
"2015-MOH2",0.351573790554713
"2015-NEH2",1.04391209993855
"2015-NYH2",1.87290320348786
"2015-NYH3",3.02178110389837
"2015-OHH1",2.57270672713132
"2015-SDH1",2.57530566295346
"2015-TXH1",3.17551211605957
"2015-TXH2",3.12662604487686
"2016-DEH1",2.18215695675009
"2016-GAH2",3.56164002456108
"2016-IAH2",2.869754249519
"2016-IAH3",2.7163031442941
"2016-IAH4",2.97737151408235
"2016-ILH1",1.51493580256435
"2016-INH1",2.75563837240343
"2016-MIH1",2.60559389143684
"2016-MNH1",2.6324441511326
"2016-NEH1",3.25093656122977
"2016-NEH4",2.64107707810369
"2016-NYH1",2.23804777985112
"2016-NYH2",1.8437288064183
"2016-NYH2L",2.7789897341845
"2016-TXH1",3.03476596720035
"2016-TXH2",2.47238627107562
"2016-WIH1",3.10466098858305
"2016-WIH2",2.2252230179735
"2017-COH1",0.328169731670787
"2017-DEH1",3.26527670539602
"2017-GAH1",2.088818813872
"2017-GAH2",2.39380646611885
"2017-IAH4",3.12248188887158
"2017-ILH1",1.13827167164843
"2017-INH1",2.66900363562905
"2017-MIH1",3.91783450087168
"2017-MNH1",3.38170935108354
"2017-NYH1",2.94154572726167
"2017-TXH1-Dry",2.75502089831361
"2017-TXH1-Early",2.4662405949067
"2017-TXH1-Late",1.6759258429434
"2017-TXH2",2.74062816867828
"2017-WIH1",3.1275041286396
"2017-WIH2",2.92682356040945
"2018-ARH2",2.69702671314211
"2018-DEH1",3.11017294433394
"2018-IAH2",2.96937038980836
"2018-IAH4",3.73468438988784
"2018-ILH1",3.87640968952626
"2018-INH1",3.74406064791288
"2018-MIH1",3.80350247158578
"2018-MNH1",2.14687453488045
"2018-MOH1",3.48684836038803
"2018-NCH1",2.63398462225335
"2018-NYH1",1.85218597919189
"2018-NYH2",2.76061640285921
"2018-NYH3",3.39742525418936
"2018-OHH1",2.89455734050375
"2018-SCH1",3.23742635659835
"2018-TXH1-Dry",2.62045733593922
"2018-TXH1-Early",2.87235771038615
"2018-TXH1-Late",3.36355033906966
"2018-TXH2",1.92115722731966
"2018-WIH1",3.82626514318199
"2018-WIH2",0.681431590871336
"2019-DEH1",2.9990334469839
"2019-GAH2",3.23866468523414
"2019-IAH4",4.15704991343129
"2019-ILH1",3.59830271695018
"2019-INH1",3.36179862562148
"2019-MIH1",2.42748836254539
"2019-MNH1",0.932638014481052
"2019-NEH1",2.66931722886429
"2019-NEH2",2.78719322027149
"2019-NEH2L",0.747933185697899
"2019-NYH1",1.30232885993652
"2019-NYH2",3.03386835984385
"2019-NYH3",3.28406827219284
"2019-OHH1",2.78697195978598
"2019-SCH1",3.48836307299471
"2019-TXH1",2.45230825241747
"2019-TXH2",1.91405463395871
"2019-TXH3",2.77007010248365
"2019-WIH1",2.84530105297174
"2019-WIH2",2.62328064081894
"2020-DEH1",3.80469104299375
"2020-INH1",3.76759371289884
"2020-MIH1",3.14015594082784
"2020-MNH1",3.34669283485894
"2020-NEH1",3.13027254482029
"2020-NEH2",3.55936208350714
"2020-NYH2",2.98796098519611
"2020-NYH3",2.50808161729723
"2020-OHH1",2.99395193759275
"2020-SCH1",1.27823442833022
"2020-TXH1",3.26378298268619
"2020-TXH2",3.66540000017728
"2020-TXH3",2.53966462400964
"2020-WIH1",1.99261256025318
"2020-WIH2",2.95467453876812
"2021-DEH1",3.81118276821024
"2021-GAH2",3.35725736597381
"2021-IAH4",3.85135966843512
"2021-ILH1",3.24215746118193
"2021-INH1",3.03709297470364
"2021-MIH1",3.30569529744595
"2021-MNH1",3.91521583362664
"2021-NEH1",2.80133690941374
"2021-NEH2",3.68495772419892
"2021-NYH2",2.21943986264065
"2021-NYH3",2.45481676503946
"2021-SCH1",1.01037061461172
"2021-SCH1L",1.33929707919506
"2021-TXH1",2.34663295062083
"2021-TXH2",3.32170534984822
"2021-TXH3",3.2492242008391
"2021-WIH1",3.6718496626555
"2021-WIH2",3.78652593083183
